iter	RMSE
0	0.3944931438
1	0.3885060589
2	0.3827935855
3	0.3773473775
4	0.3721439829
5	0.3671567112
6	0.3624112676
7	0.3578801275
8	0.3535613307
9	0.3494420052
10	0.3454956133
11	0.3417638593
12	0.3382255776
13	0.3348257658
14	0.3316007039
15	0.328532368
16	0.3256051299
17	0.3228247355
18	0.3201931516
19	0.3176940561
20	0.3153260033
21	0.3130700389
22	0.3109367451
23	0.3089031066
24	0.3069832215
25	0.3051535391
26	0.303426196
27	0.3017996759
28	0.3002528732
29	0.2987820042
30	0.2973851803
31	0.2960614246
32	0.2948090422
33	0.2936271074
34	0.2925054799
35	0.2914447562
36	0.2904445844
37	0.2895011642
38	0.2886089883
39	0.2877801858
40	0.286979957
41	0.2862180959
42	0.2855029361
43	0.2848291218
44	0.2841876972
45	0.2835932165
46	0.2830185621
47	0.2824712141
48	0.2819589116
49	0.2814736316
50	0.2810073192
51	0.2805699478
52	0.2801619517
53	0.2797771498
54	0.2794073848
55	0.279065837
56	0.2787379994
57	0.2784323319
58	0.2781375364
59	0.2778594691
60	0.2775965912
61	0.2773463136
62	0.2771177052
63	0.2768992806
64	0.2766923011
65	0.2764937704
66	0.2763108425
67	0.276130052
68	0.2759589677
69	0.2757935948
70	0.2756406516
71	0.2754982533
72	0.2753643448
73	0.2752275663
74	0.2751019615
75	0.274983577
76	0.2748725587
77	0.2747625624
78	0.2746628531
79	0.2745669274
80	0.2744684841
81	0.274381224
82	0.274301007
83	0.274212749
84	0.2741376899
85	0.2740676472
86	0.2739931386
87	0.2739155088
88	0.2738457398
89	0.2737862335
90	0.2737222823
91	0.2736555546
92	0.2736027348
93	0.2735525753
94	0.2735010813
95	0.2734403974
96	0.2733994057
97	0.2733362146
98	0.2732926535
99	0.2732523292
100	0.2731966682
101	0.273157721
102	0.2731232824
103	0.273085495
104	0.2730524562
105	0.2730199598
106	0.2729747351
107	0.2729418085
108	0.2729057044
109	0.2728803653
110	0.2728456602
111	0.2728225185
112	0.2727976266
113	0.272770534
114	0.2727343688
115	0.2727015488
116	0.2726788188
117	0.272657008
118	0.272622297
119	0.2725927786
120	0.2725564355
121	0.2725224142
122	0.2725042928
123	0.27247891
124	0.2724576007
125	0.2724277251
126	0.2724131836
127	0.2723992535
128	0.2723829146
129	0.2723696224
130	0.2723554766
131	0.2723342947
132	0.2723216104
133	0.2722970529
134	0.2722778731
135	0.2722606146
136	0.2722312415
137	0.2722127983
138	0.2721921314
139	0.2721811943
140	0.2721700963
141	0.2721551578
142	0.2721454933
143	0.2721305248
144	0.2721220338
145	0.2721015807
146	0.2720912843
147	0.2720823638
148	0.2720695353
149	0.2720463628
150	0.2720298036
151	0.2720136905
152	0.2720007165
153	0.2719806219
154	0.2719706854
155	0.271958395
156	0.271945366
157	0.2719169999
158	0.2719092386
159	0.2718981127
160	0.2718907547
161	0.27187408
162	0.2718605643
163	0.271853652
164	0.2718372596
165	0.2718260751
166	0.2718107095
167	0.271799609
168	0.2717822915
169	0.2717755185
170	0.2717669167
171	0.2717509059
172	0.2717432998
173	0.2717313925
174	0.2717166586
175	0.2717017848
176	0.2716928653
177	0.2716833789
178	0.2716699487
179	0.2716591976
180	0.2716464136
181	0.2716332313
182	0.2716122815
183	0.2716053159
184	0.2715903727
185	0.2715766785
186	0.271551194
187	0.2715395595
188	0.2715323602
189	0.2715257817
190	0.2715198043
191	0.2715116676
192	0.2715010674
193	0.2714918609
194	0.2714832422
195	0.271478321
196	0.2714651364
197	0.2714581007
198	0.2714492958
199	0.2714426647
200	0.2714302168
201	0.2714178313
202	0.2714081935
203	0.2713853411
204	0.2713765083
205	0.2713721507
206	0.2713525726
207	0.271337862
208	0.2713267631
209	0.2713165186
210	0.2713116855
211	0.2713009167
212	0.2712948612
213	0.2712784368
214	0.2712712012
215	0.2712618141
216	0.2712550427
217	0.2712460777
218	0.2712262345
219	0.2712169816
220	0.2712018155
221	0.2711898731
222	0.2711689669
223	0.271153089
224	0.2711455228
225	0.2711407853
226	0.2711367075
227	0.2711236829
228	0.2711131077
229	0.2710990933
230	0.2710907347
231	0.2710793579
232	0.2710723675
233	0.2710631162
234	0.2710531379
235	0.271044523
236	0.2710356764
237	0.2710277516
238	0.2710250509
239	0.2710186711
240	0.2710086155
241	0.2710031368
242	0.2709822853
243	0.2709776837
244	0.2709699823
245	0.2709614512
246	0.2709512687
247	0.2709412462
248	0.2709297232
249	0.2709182315
250	0.2709054814
251	0.2708962225
252	0.2708867522
253	0.2708854609
254	0.2708748587
255	0.2708712938
256	0.270858988
257	0.2708494339
258	0.270844547
259	0.2708374542
260	0.2708264592
261	0.2708073861
262	0.2708004662
263	0.270793778
264	0.2707858964
265	0.270774074
266	0.2707691912
267	0.2707601937
268	0.2707564074
269	0.2707516016
270	0.2707356378
271	0.2707301838
272	0.270724466
273	0.2707093723
274	0.2707064972
275	0.2706982361
276	0.2706961666
277	0.2706848262
278	0.270672755
279	0.270667224
280	0.2706656618
281	0.2706642066
282	0.2706535346
283	0.2706459108
284	0.2706424515
285	0.2706247243
286	0.2706227582
287	0.2706143412
288	0.2706003687
289	0.2705868637
290	0.27057387
291	0.270565273
292	0.2705568516
293	0.2705477399
294	0.2705421604
295	0.2705327349
296	0.2705273498
297	0.2705188587
298	0.270512933
299	0.2705078884
300	0.2705046881
301	0.2704999147
302	0.2704928178
303	0.2704855327
304	0.2704799174
305	0.270472577
306	0.2704629078
307	0.2704589724
308	0.2704512959
309	0.2704458171
310	0.2704377102
311	0.270429935
312	0.2704223049
313	0.2704170578
314	0.27041394
315	0.2704004843
316	0.2703971575
317	0.2703913063
318	0.2703778433
319	0.2703717853
320	0.2703671178
321	0.2703602015
322	0.2703526824
323	0.2703471005
324	0.2703404592
325	0.2703251107
326	0.2703185003
327	0.2703151493
328	0.2703129229
329	0.270307119
330	0.2702982964
331	0.2702930261
332	0.2702905966
333	0.2702728706
334	0.2702668378
335	0.2702537043
336	0.2702472893
337	0.2702419552
338	0.2702314987
339	0.2702185854
340	0.270215976
341	0.2702123013
342	0.2701967783
343	0.2701950954
344	0.2701914654
345	0.2701876275
346	0.2701852887
347	0.2701795348
348	0.2701690872
349	0.2701654143
350	0.2701600509
351	0.2701551192
352	0.2701534097
353	0.27014451
354	0.2701366166
355	0.2701335175
356	0.2701312151
357	0.270127279
358	0.2701202988
359	0.2701177951
360	0.2701128508
361	0.2701081548
362	0.2701026912
363	0.2700985824
364	0.2700860704
365	0.2700722997
366	0.2700663953
367	0.2700584881
368	0.2700527769
369	0.2700433787
370	0.2700311838
371	0.2700271867
372	0.2700211504
373	0.2700064332
374	0.2699979186
375	0.2699861991
376	0.269971169
377	0.2699606998
378	0.2699439557
379	0.2699347187
380	0.2699332786
381	0.2699305518
382	0.269923265
383	0.2699120222
384	0.269905053
385	0.2698887841
386	0.2698704001
387	0.2698659272
388	0.2698591757
389	0.2698487832
390	0.2698406182
391	0.2698310386
392	0.2698301606
393	0.2698223114
394	0.26981452
395	0.2698117332
396	0.2698008605
397	0.269788411
398	0.2697824878
399	0.2697669858
400	0.2697664807
401	0.2697611015
402	0.2697537514
403	0.2697513645
404	0.2697478939
405	0.2697446719
406	0.2697309846
407	0.269716662
408	0.2697133553
409	0.2697111346
410	0.2696986389
411	0.2696833701
412	0.2696782065
413	0.2696705581
414	0.2696658512
415	0.2696605135
416	0.2696575306
417	0.2696491589
418	0.2696444859
419	0.2696365439
420	0.26963029
421	0.269624689
422	0.2696171612
423	0.2696131628
424	0.269598616
