iter	Passed	Remaining
0	240	192184
1	352	140498
2	452	120159
3	561	111706
4	661	105142
5	776	102707
6	886	100437
7	990	98033
8	1109	97507
9	1231	97249
10	1342	96305
11	1457	95738
12	1568	94942
13	1687	94734
14	1807	94577
15	1915	93866
16	2014	92786
17	2120	92122
18	2235	91889
19	2344	91452
20	2452	90990
21	2554	90353
22	2659	89854
23	2768	89522
24	2880	89300
25	2991	89060
26	3101	88800
27	3215	88651
28	3326	88444
29	3454	88669
30	3582	88858
31	3689	88545
32	3805	88444
33	3908	88065
34	4012	87694
35	4147	88019
36	4257	87791
37	4376	87763
38	4480	87422
39	4593	87272
40	4716	87303
41	4827	87128
42	4968	87473
43	5090	87461
44	5223	87642
45	5339	87514
46	5454	87394
47	5582	87452
48	5694	87270
49	5816	87247
50	5952	87419
51	6073	87362
52	6186	87188
53	6295	86965
54	6419	86960
55	6540	86897
56	6672	86974
57	6775	86685
58	6894	86594
59	7008	86443
60	7127	86347
61	7229	86048
62	7340	85876
63	7457	85763
64	7579	85705
65	7688	85509
66	7820	85560
67	7939	85467
68	8050	85293
69	8177	85276
70	8302	85243
71	8430	85237
72	8546	85114
73	8664	85006
74	8778	84854
75	8901	84803
76	9033	84818
77	9165	84843
78	9274	84648
79	9388	84498
80	9512	84441
81	9620	84241
82	9740	84144
83	9861	84061
84	9971	83880
85	10077	83669
86	10216	83726
87	10349	83735
88	10485	83765
89	10615	83745
90	10725	83562
91	10844	83454
92	10969	83388
93	11086	83269
94	11200	83119
95	11329	83079
96	11442	82932
97	11563	82833
98	11667	82613
99	11789	82528
100	11914	82460
101	12027	82302
102	12152	82238
103	12288	82235
104	12398	82067
105	12533	82061
106	12641	81873
107	12770	81827
108	12895	81749
109	13023	81691
110	13136	81540
111	13262	81467
112	13368	81275
113	13482	81131
114	13615	81100
115	13735	80994
116	13864	80933
117	13979	80798
118	14106	80724
119	14227	80623
120	14349	80520
121	14477	80455
122	14595	80335
123	14727	80288
124	14846	80172
125	14967	80066
126	15098	80007
127	15206	79832
128	15319	79683
129	15444	79599
130	15534	79334
131	15662	79261
132	15778	79128
133	15882	78940
134	15994	78786
135	16096	78588
136	16219	78492
137	16313	78259
138	16448	78220
139	16563	78084
140	16699	78047
141	16791	77808
142	16904	77668
143	17020	77536
144	17105	77268
145	17225	77159
146	17342	77039
147	17462	76928
148	17595	76875
149	17729	76826
150	17851	76724
151	17972	76618
152	18090	76499
153	18207	76377
154	18328	76268
155	18452	76174
156	18552	75982
157	18672	75871
158	18779	75710
159	18902	75611
160	19034	75546
161	19153	75431
162	19264	75283
163	19382	75166
164	19504	75061
165	19620	74934
166	19736	74808
167	19853	74685
168	19973	74575
169	20089	74449
170	20213	74352
171	20336	74252
172	20448	74110
173	20559	73968
174	20676	73845
175	20791	73714
176	20900	73564
177	21017	73444
178	21129	73304
179	21247	73184
180	21370	73083
181	21492	72981
182	21633	72937
183	21762	72858
184	21893	72782
185	22010	72657
186	22132	72552
187	22254	72445
188	22369	72316
189	22484	72187
190	22598	72055
191	22735	71994
192	22854	71878
193	22970	71753
194	23090	71640
195	23220	71555
196	23333	71421
197	23463	71337
198	23581	71219
199	23712	71136
200	23845	71060
201	23955	70918
202	24091	70851
203	24209	70730
204	24337	70639
205	24462	70537
206	24576	70405
207	24693	70280
208	24819	70184
209	24949	70094
210	25057	69945
211	25185	69853
212	25285	69682
213	25401	69557
214	25521	69441
215	25639	69322
216	25754	69194
217	25872	69072
218	25987	68945
219	26118	68856
220	26249	68772
221	26360	68633
222	26478	68512
223	26596	68390
224	26719	68282
225	26838	68164
226	26965	68066
227	27072	67919
228	27208	67842
229	27327	67725
230	27436	67581
231	27545	67438
232	27663	67318
233	27778	67190
234	27890	67055
235	28017	66957
236	28138	66843
237	28245	66697
238	28366	66585
239	28498	66496
240	28603	66346
241	28706	66190
242	28822	66067
243	28942	65950
244	29059	65828
245	29175	65703
246	29319	65641
247	29433	65513
248	29548	65385
249	29662	65258
250	29798	65176
251	29921	65068
252	30039	64946
253	30169	64853
254	30290	64738
255	30391	64582
256	30506	64454
257	30621	64328
258	30749	64229
259	30858	64090
260	30967	63952
261	31083	63827
262	31192	63690
263	31325	63600
264	31408	63410
265	31531	63300
266	31655	63192
267	31767	63060
268	31865	62901
269	31996	62807
270	32110	62681
271	32244	62591
272	32377	62501
273	32503	62397
274	32627	62288
275	32743	62165
276	32866	62054
277	32986	61939
278	33121	61850
279	33260	61768
280	33379	61652
281	33506	61547
282	33625	61428
283	33760	61339
284	33893	61246
285	34012	61127
286	34128	61003
287	34251	60891
288	34376	60782
289	34502	60676
290	34642	60595
291	34754	60463
292	34874	60346
293	35002	60242
294	35124	60127
295	35240	60003
296	35363	59892
297	35492	59789
298	35607	59664
299	35729	59548
300	35867	59461
301	36005	59373
302	36143	59285
303	36262	59164
304	36379	59042
305	36498	58923
306	36634	58830
307	36764	58728
308	36885	58611
309	37009	58499
310	37121	58368
311	37257	58274
312	37392	58179
313	37514	58063
314	37633	57944
315	37768	57847
316	37904	57753
317	38018	57625
318	38145	57517
319	38272	57408
320	38381	57272
321	38499	57150
322	38609	57017
323	38727	56896
324	38844	56773
325	38979	56674
326	39109	56571
327	39238	56464
328	39372	56365
329	39483	56234
330	39590	56096
331	39713	55981
332	39818	55841
333	39944	55730
334	40071	55621
335	40191	55502
336	40315	55389
337	40439	55275
338	40555	55150
339	40687	55047
340	40816	54940
341	40933	54816
342	41050	54694
343	41195	54608
344	41315	54488
345	41439	54374
346	41536	54225
347	41660	54110
348	41785	53998
349	41913	53889
350	42035	53772
351	42172	53674
352	42283	53542
353	42411	53433
354	42540	53325
355	42674	53222
356	42795	53104
357	42923	52995
358	43035	52864
359	43157	52748
360	43296	52651
361	43437	52556
362	43562	52442
363	43694	52336
364	43820	52224
365	43934	52096
366	44077	52003
367	44204	51892
368	44325	51773
369	44439	51646
370	44566	51534
371	44687	51414
372	44809	51296
373	44931	51178
374	45043	51049
375	45159	50924
376	45279	50803
377	45416	50702
378	45553	50601
379	45675	50483
380	45802	50370
381	45921	50248
382	46042	50130
383	46155	50001
384	46266	49871
385	46371	49735
386	46488	49611
387	46606	49489
388	46734	49377
389	46844	49246
390	46964	49126
391	47098	49020
392	47221	48903
393	47338	48780
394	47461	48663
395	47609	48571
396	47725	48447
397	47854	48335
398	47996	48237
399	48123	48123
400	48230	47990
401	48359	47878
402	48482	47760
403	48620	47657
404	48736	47533
405	48872	47427
406	48986	47300
407	49107	47181
408	49228	47062
409	49371	46963
410	49496	46846
411	49623	46733
412	49746	46614
413	49864	46492
414	49988	46374
415	50110	46255
416	50228	46133
417	50341	46006
418	50467	45890
419	50584	45767
420	50703	45645
421	50826	45527
422	50954	45413
423	51078	45296
424	51196	45173
425	51303	45041
426	51421	44918
427	51545	44801
428	51666	44680
429	51782	44556
430	51915	44447
431	52020	44313
432	52151	44202
433	52270	44080
434	52386	43956
435	52503	43832
436	52621	43711
437	52712	43565
438	52839	43450
439	52950	43323
440	53061	43194
441	53200	43089
442	53337	42983
443	53465	42868
444	53579	42742
445	53707	42629
446	53835	42514
447	53953	42391
448	54070	42268
449	54188	42146
450	54325	42039
451	54472	41938
452	54590	41816
453	54717	41700
454	54841	41583
455	54974	41472
456	55120	41370
457	55251	41257
458	55382	41145
459	55507	41027
460	55625	40904
461	55751	40787
462	55868	40664
463	55994	40547
464	56130	40438
465	56263	40326
466	56377	40200
467	56491	40074
468	56626	39964
469	56747	39843
470	56865	39721
471	56992	39604
472	57135	39499
473	57260	39381
474	57380	39260
475	57504	39141
476	57624	39020
477	57755	38906
478	57876	38785
479	58015	38676
480	58144	38561
481	58257	38435
482	58405	38332
483	58527	38212
484	58658	38097
485	58775	37974
486	58912	37863
487	59039	37746
488	59155	37622
489	59279	37503
490	59400	37382
491	59517	37259
492	59636	37136
493	59767	37021
494	59896	36905
495	60020	36786
496	60143	36666
497	60265	36546
498	60380	36421
499	60496	36297
500	60615	36175
501	60736	36054
502	60854	35932
503	60997	35823
504	61114	35700
505	61230	35576
506	61341	35450
507	61464	35329
508	61596	35215
509	61712	35091
510	61844	34976
511	61964	34855
512	62080	34731
513	62187	34602
514	62308	34481
515	62432	34361
516	62557	34243
517	62687	34127
518	62808	34005
519	62921	33880
520	63058	33768
521	63184	33650
522	63307	33529
523	63430	33410
524	63543	33284
525	63681	33172
526	63816	33058
527	63935	32936
528	64055	32814
529	64173	32692
530	64292	32569
531	64421	32452
532	64552	32336
533	64677	32217
534	64797	32095
535	64924	31977
536	65051	31859
537	65176	31740
538	65308	31624
539	65426	31501
540	65545	31379
541	65664	31257
542	65782	31134
543	65902	31013
544	66028	30894
545	66173	30784
546	66300	30665
547	66427	30546
548	66561	30431
549	66685	30311
550	66806	30190
551	66922	30066
552	67036	29942
553	67153	29818
554	67266	29694
555	67383	29571
556	67504	29449
557	67647	29338
558	67780	29221
559	67897	29098
560	68021	28978
561	68146	28859
562	68270	28739
563	68395	28619
564	68516	28498
565	68635	28375
566	68767	28259
567	68896	28140
568	69022	28021
